Subject,Difficulty,Time_Taken_hrs,Date,Possibility
GEN,Hard,5,2026-04-08,Possible
CSC105,Easy,0.5,2026-04-09,Possible
Math,Easy,1,2026-04-09,Possible
ML,Easy,0.5,2026-04-09,Possible
ML,Hard,5,2026-04-10,Possible
ML,Medium,3,2026-04-11,Possible
Math,Easy,1,2026-04-11,Possible
CSC105,Easy,1,2026-04-11,Possible
GEN,Hard,5,2026-04-12,Not Possible
CSC105,Medium,3,2026-04-12,Not Possible
ML,Medium,3,2026-04-13,Possible
Math,Medium,3,2026-04-14,Not Possible
GEN,Medium,3,2026-04-14,Not Possible
CSC105,Easy,1,2026-04-14,Not Possible
ML,Easy,1,2026-04-15,Possible
ML,Easy,0.5,2026-04-16,Possible
Math,Medium,3,2026-04-17,Not Possible
CSC105,Medium,3,2026-04-17,Not Possible
CSC105,Easy,1,2026-04-18,Possible
GEN,Easy,0.5,2026-04-18,Possible
ML,Easy,1,2026-04-18,Possible
ML,Easy,1,2026-04-19,Possible
GEN,Easy,1,2026-04-19,Possible
Math,Easy,1,2026-04-19,Possible
CSC105,Easy,0.5,2026-04-19,Possible
GEN,Medium,3,2026-04-20,Not Possible
CSC105,Medium,3,2026-04-20,Not Possible
Math,Medium,3,2026-04-21,Possible
ML,Easy,0.5,2026-04-21,Possible
CSC105,Easy,0.5,2026-04-21,Possible
GEN,Hard,5,2026-04-22,Not Possible
ML,Easy,1,2026-04-22,Not Possible
GEN,Medium,3,2026-04-23,Not Possible
CSC105,Medium,3,2026-04-23,Not Possible
Math,Medium,3,2026-04-24,Not Possible
GEN,Medium,3,2026-04-24,Not Possible
ML,Easy,1,2026-04-24,Not Possible
CSC105,Easy,1,2026-04-24,Not Possible
CSC105,Hard,5,2026-04-25,Possible
GEN,Hard,5,2026-04-26,Not Possible
Math,Medium,3,2026-04-26,Not Possible
Math,Medium,3,2026-04-27,Possible
CSC105,Hard,5,2026-04-28,Not Possible
Math,Easy,1,2026-04-28,Not Possible
ML,Easy,0.5,2026-04-28,Not Possible
GEN,Easy,0.5,2026-04-28,Not Possible
CSC105,Medium,3,2026-04-29,Not Possible
Math,Medium,3,2026-04-29,Not Possible
GEN,Easy,1,2026-04-29,Not Possible
ML,Medium,3,2026-04-30,Not Possible
CSC105,Medium,3,2026-04-30,Not Possible
CSC105,Medium,3,2026-05-01,Not Possible
ML,Medium,3,2026-05-01,Not Possible
CSC105,Medium,3,2026-05-02,Not Possible
GEN,Medium,3,2026-05-02,Not Possible
Math,Easy,0.5,2026-05-02,Not Possible
Math,Easy,1,2026-05-03,Possible
CSC105,Easy,0.5,2026-05-03,Possible
GEN,Hard,5,2026-05-04,Not Possible
Math,Medium,3,2026-05-04,Not Possible
Math,Hard,5,2026-05-05,Possible
ML,Hard,5,2026-05-06,Not Possible
Math,Easy,0.5,2026-05-06,Not Possible
CSC105,Medium,3,2026-05-06,Not Possible
ML,Easy,0.5,2026-05-07,Possible
GEN,Hard,5,2026-05-08,Not Possible
ML,Easy,0.5,2026-05-08,Not Possible
CSC105,Hard,5,2026-05-09,Possible
GEN,Easy,0.5,2026-05-10,Possible
Math,Easy,0.5,2026-05-10,Possible
ML,Medium,3,2026-05-10,Possible
Math,Medium,3,2026-05-11,Not Possible
CSC105,Medium,3,2026-05-11,Not Possible
GEN,Easy,0.5,2026-05-11,Not Possible
Math,Medium,3,2026-05-12,Possible
GEN,Easy,1,2026-05-12,Possible
ML,Easy,1,2026-05-13,Possible
CSC105,Easy,1,2026-05-13,Possible
Math,Easy,0.5,2026-05-13,Possible
ML,Hard,5,2026-05-14,Not Possible
GEN,Easy,0.5,2026-05-14,Not Possible
CSC105,Medium,3,2026-05-14,Not Possible
ML,Hard,5,2026-05-15,Not Possible
GEN,Easy,0.5,2026-05-15,Not Possible
CSC105,Medium,3,2026-05-16,Possible
